NOC,Sport,Year,gold_number,silver_number,bronze_number,total_number,athletes_number,score
BRA,Volleyball,2024,0,0,13,13,26,91
BRA,Volleyball,2020,0,12,0,12,24,96
BRA,Volleyball,2016,12,0,0,12,24,120
BRA,Volleyball,2012,12,12,0,24,24,216
BRA,Volleyball,2008,12,12,0,24,24,216
BRA,Volleyball,2004,12,0,0,12,24,120
BRA,Volleyball,2000,0,0,12,12,24,84
BRA,Volleyball,1996,0,0,12,12,23,84
BRA,Volleyball,1992,12,0,0,12,24,120
BRA,Volleyball,1988,0,0,0,0,24,0
BRA,Volleyball,1984,0,12,0,12,24,96
BRA,Volleyball,1980,0,0,0,0,24,0
BRA,Volleyball,1976,0,0,0,0,12,0
BRA,Volleyball,1972,0,0,0,0,12,0
BRA,Volleyball,1968,0,0,0,0,12,0
BRA,Volleyball,1964,0,0,0,0,10,0
BRA,Athletics,2024,0,1,1,2,56,15
BRA,Athletics,2020,0,0,2,2,67,14
BRA,Athletics,2016,1,0,0,1,72,10
BRA,Athletics,2012,0,0,0,0,40,0
BRA,Athletics,2008,1,0,4,5,49,38
BRA,Athletics,2004,0,0,1,1,43,7
BRA,Athletics,2000,0,5,0,5,23,40
BRA,Athletics,1996,0,0,4,4,50,28
BRA,Athletics,1992,0,0,0,0,31,0
BRA,Athletics,1988,0,1,1,2,26,15
BRA,Athletics,1984,1,0,0,1,35,10
BRA,Athletics,1980,0,0,1,1,20,7
BRA,Athletics,1976,0,0,1,1,11,7
BRA,Athletics,1972,0,0,1,1,3,7
BRA,Athletics,1968,0,1,0,1,3,8
BRA,Athletics,1964,0,0,0,0,1,0
BRA,Athletics,1960,0,0,0,0,6,0
BRA,Athletics,1956,1,0,0,1,13,10
BRA,Athletics,1952,1,0,1,2,16,17
BRA,Athletics,1948,0,0,0,0,27,0
BRA,Athletics,1936,0,0,0,0,11,0
BRA,Athletics,1932,0,0,0,0,22,0
BRA,Athletics,1924,0,0,0,0,14,0
BRA,Athletics,1900,0,0,0,0,3,0
FRA,Fencing,2024,1,7,8,16,42,122
FRA,Fencing,2020,5,8,1,14,30,121
FRA,Fencing,2016,4,4,1,9,31,79
FRA,Fencing,2012,0,0,0,0,19,0
FRA,Fencing,2008,6,2,0,8,24,76
FRA,Fencing,2004,8,1,5,14,31,123
FRA,Fencing,2000,4,9,1,14,28,119
FRA,Fencing,1996,4,2,5,11,27,91
FRA,Fencing,1992,2,0,7,9,32,69
FRA,Fencing,1988,6,1,0,7,31,68
FRA,Fencing,1984,2,10,11,23,32,177
FRA,Fencing,1980,16,1,1,18,25,175
FRA,Fencing,1976,0,5,6,11,31,82
FRA,Fencing,1972,0,1,6,7,31,50
FRA,Fencing,1968,5,0,1,6,32,57
FRA,Fencing,1964,0,2,11,13,32,93
FRA,Fencing,1960,0,0,0,0,33,0
FRA,Fencing,1956,1,6,6,13,27,100
FRA,Fencing,1952,7,0,6,13,30,112
FRA,Fencing,1948,13,1,0,14,30,138
FRA,Fencing,1936,0,7,6,13,29,98
FRA,Fencing,1932,12,1,0,13,21,128
FRA,Fencing,1928,2,13,0,15,30,124
FRA,Fencing,1924,16,3,0,19,35,184
FRA,Fencing,1920,1,14,9,24,38,185
FRA,Fencing,1908,8,1,1,10,33,95
FRA,Fencing,1906,6,1,1,8,13,75
FRA,Fencing,1900,5,5,5,15,253,125
FRA,Fencing,1896,1,2,0,3,4,26
FRA,Judo,2024,15,2,6,23,28,208
FRA,Judo,2020,12,3,3,18,24,165
FRA,Judo,2016,2,2,1,5,14,43
FRA,Judo,2012,2,0,5,7,14,55
FRA,Judo,2008,0,2,2,4,13,30
FRA,Judo,2004,0,1,0,1,13,8
FRA,Judo,2000,2,2,2,6,14,50
FRA,Judo,1996,3,0,3,6,14,51
FRA,Judo,1992,2,1,4,7,14,56
FRA,Judo,1988,1,0,1,2,7,17
FRA,Judo,1984,0,1,2,3,8,22
FRA,Judo,1980,2,1,1,4,8,35
FRA,Judo,1976,0,0,1,1,6,7
FRA,Judo,1972,0,0,3,3,6,21
FRA,Judo,1964,0,0,0,0,4,0
IND,Shooting,2024,0,0,4,4,32,28
IND,Shooting,2020,0,0,0,0,24,0
IND,Shooting,2016,0,0,0,0,18,0
IND,Shooting,2012,0,1,1,2,15,15
IND,Shooting,2008,1,0,0,1,15,10
IND,Shooting,2004,0,1,0,1,9,8
IND,Shooting,2000,0,0,0,0,4,0
IND,Shooting,1996,0,0,0,0,3,0
IND,Shooting,1992,0,0,0,0,3,0
IND,Shooting,1988,0,0,0,0,2,0
IND,Shooting,1984,0,0,0,0,10,0
IND,Shooting,1980,0,0,0,0,4,0
IND,Shooting,1976,0,0,0,0,3,0
IND,Shooting,1972,0,0,0,0,5,0
IND,Shooting,1968,0,0,0,0,3,0
IND,Shooting,1964,0,0,0,0,2,0
IND,Shooting,1960,0,0,0,0,3,0
IND,Shooting,1956,0,0,0,0,2,0
IND,Shooting,1952,0,0,0,0,4,0
IND,Badminton,2024,0,0,0,0,7,0
IND,Badminton,2020,0,0,1,1,4,7
IND,Badminton,2016,0,1,0,1,7,8
IND,Badminton,2012,0,0,1,1,6,7
IND,Badminton,2008,0,0,0,0,2,0
IND,Badminton,2004,0,0,0,0,3,0
IND,Badminton,2000,0,0,0,0,2,0
IND,Badminton,1996,0,0,0,0,2,0
IND,Badminton,1992,0,0,0,0,5,0
