NOC,score
USA,1157.0
CHN,775.0
FRA,522.0
AUS,444.0
GBR,435.0
JPN,362.0
ITA,336.0
GER,303.0
NED,283.0
CAN,264.0
KOR,229.0
HUN,160.0
POL,152.0
NZL,150.0
BRA,148.0
ESP,146.0
UKR,104.0
KAZ,79.0
BEL,79.0
UZB,77.0
SWE,76.0
CZE,73.0
DEN,64.0
TUR,62.0
SUI,62.0
CUB,59.0
ROU,58.0
KEN,57.0
IRL,57.0
COL,57.0
MEX,55.0
IND,54.0
ISR,50.0
JAM,50.0
IRI,50.0
NOR,50.0
BUL,49.0
GRE,49.0
AUT,49.0
EGY,47.0
CRO,42.0
RSA,40.0
TPE,39.0
AZE,39.0
SLO,35.0
GEO,33.0
LTU,32.0
POR,32.0
THA,32.0
KGZ,32.0
DOM,32.0
ECU,25.0
ARG,25.0
FIN,25.0
TUN,25.0
VEN,25.0
CHI,25.0
PHI,25.0
MAR,25.0
MGL,25.0
NGR,25.0
HKG,25.0
SRB,25.0
INA,25.0
PUR,25.0
SVK,25.0
AIN,17.0
ALG,17.0
KIR,17.0
CYP,17.0
JOR,17.0
ARM,15.0
MAS,15.0
SGP,15.0
MDA,15.0
LAT,15.0
EOR,15.0
BRN,10.0
KOS,10.0
UGA,7.0
ASA,0.0
ARU,0.0
ANG,0.0
ANT,0.0
GBS,0.0
GUA,0.0
GAM,0.0
FIJ,0.0
CRC,0.0
ETH,0.0
DJI,0.0
FSM,0.0
GHA,0.0
GRN,0.0
DMA,0.0
BIZ,0.0
BOL,0.0
BOT,0.0
CAM,0.0
CAY,0.0
CAF,0.0
BUR,0.0
CHA,0.0
CGO,0.0
CMR,0.0
CIV,0.0
COD,0.0
ERI,0.0
GAB,0.0
GEQ,0.0
CPV,0.0
COM,0.0
BAH,0.0
BAN,0.0
BIH,0.0
BEN,0.0
BER,0.0
BAR,0.0
BHU,0.0
BRU,0.0
ALB,0.0
AND,0.0
AFG,0.0
MAD,0.0
LUX,0.0
BDI,0.0
MAW,0.0
LBN,0.0
LBA,0.0
LAO,0.0
KUW,0.0
KSA,0.0
IVB,0.0
LIE,0.0
ISV,0.0
ISL,0.0
IRQ,0.0
GUI,0.0
HAI,0.0
COK,0.0
ESA,0.0
EST,0.0
HON,0.0
GUM,0.0
GUY,0.0
NRU,0.0
NAM,0.0
MRI,0.0
NCA,0.0
NIG,0.0
MYA,0.0
MON,0.0
MLT,0.0
MNE,0.0
MOZ,0.0
MLI,0.0
MTN,0.0
NEP,0.0
LCA,0.0
LBR,0.0
LES,0.0
MDV,0.0
SEY,0.0
PRK,0.0
PNG,0.0
RWA,0.0
QAT,0.0
PLE,0.0
PAR,0.0
PAN,0.0
PLW,0.0
PER,0.0
MHL,0.0
MKD,0.0
OMA,0.0
PAK,0.0
SRI,0.0
STP,0.0
SMR,0.0
SOL,0.0
SKN,0.0
SSD,0.0
SLE,0.0
SEN,0.0
SAM,0.0
SYR,0.0
TAN,0.0
SWZ,0.0
SUR,0.0
SOM,0.0
SUD,0.0
TTO,0.0
TLS,0.0
TOG,0.0
TGA,0.0
TJK,0.0
UAE,0.0
TKM,0.0
TUV,0.0
URU,0.0
VAN,0.0
VIE,0.0
VIN,0.0
YEM,0.0
ZAM,0.0
ZIM,0.0
