,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-145.09799826411938,620.7061780942471,-0.23376277437678075,0.8156942301252369,-1378.0545700370253,1087.8585735087868
coach_lag3,36.4116287296608,30.68080122928973,1.1867887170723586,0.23839999392909003,-24.532013911458954,97.35527137078054
coach_lag4,23.697789205888,40.970588291144786,0.5784097860027542,0.5644162519292149,-57.6852513787329,105.0808297905089
coach_lag5,32.051389795485115,35.94876053338191,0.89158539320771,0.37496663053994894,-39.35640685769034,103.45918644866057
athletes_number,0.14076056822775063,0.3768733324525621,0.3734956976438986,0.7096482491840987,-0.6078520094656312,0.8893731459211325
Year,0.08229503712946207,0.30854445170528383,0.26672019760727644,0.7902880712233269,-0.5305906128605321,0.6951806871194562
NOC_GBR,-6.286951488163522,15.478493224992949,-0.40617335271446525,0.6855688014641366,-37.033076815112864,24.459173838785816
NOC_JPN,3.066179650528867,18.508665388957105,0.16566184465997497,0.8687905627355158,-33.6990104368741,39.83136973793183
NOC_KOR,-38.00696979094874,21.940539266829305,-1.732271450976111,0.08661336431588135,-81.58915574620306,5.575216164305594
NOC_USA,-69.88422720210556,37.0714721981139,-1.8851214440213433,0.06260438838945324,-143.52215265710396,3.7536982528928178
Sport_Athletics,377.01877254086514,53.64935430969235,7.0274615117362655,3.742188099762779e-10,270.4509207907823,483.586624290948
Sport_Badminton,-38.00696979094904,21.94053926682937,-1.73227145097612,0.08661336431587974,-81.5891557462035,5.5752161643054166
Sport_Gymnastics,79.552381813164,42.466812006883345,1.8732835843733584,0.06423905739505312,-4.802723378299305,163.9074870046273
Sport_Table Tennis,3.0661796505289525,18.508665388957084,0.16566184465997977,0.868790562735512,-33.69901043687397,39.83136973793187
Sport_Tennis,-6.286951488163407,15.478493224993022,-0.4061733527144559,0.6855688014641432,-37.03307681511289,24.45917383878608
Sport_Volleyball,133.48322129437776,47.53020166543707,2.8083874382431637,0.006092820916524664,39.07031456124385,227.89612802751168
