Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Haidar Hassan,M,Iraq,IRQ,2004,Athina,Football,Football Men's Football,No medal
Haidar Hassan,M,Iraq,IRQ,2004,Athina,Football,Football Men's Football,No medal
Dsir Acket,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Dsir Acket,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Muhammad Ahmed,M,Pakistan,PAK,2000,Sydney,Hockey,Hockey Men's Hockey,No medal
William Aldrich,M,United States,USA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
William Aldrich,M,United States,USA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
William Aldrich,M,United States,USA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Hermann Alker,M,Germany,GER,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",No medal
Hermann Alker,M,Germany,GER,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",No medal
Hermann Alker,M,Germany,GER,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Hermann Alker,M,Germany,GER,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Hermann Alker,M,Germany,GER,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Hermann Alker,M,Germany,GER,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Lucien Alliot,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Lucien Alliot,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Lucien Alliot,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Sculpturing,No medal
Moustafa Amer,M,Egypt,EGY,1988,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal
Moustafa Amer,M,Egypt,EGY,1988,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal
Ludwig Angerer,M,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Ludwig Angerer,M,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Ludwig Angerer,M,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Ludwig Angerer,M,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Ludwig Angerer,M,Germany,GER,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Ludwig Angerer,M,Germany,GER,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
George Armour,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
George Armour,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
George Armour,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
George Armour,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
George Armour,M,Great Britain,GBR,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
George Armour,M,Great Britain,GBR,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Konstantinos Aslanidis,M,Greece,GRE,1948,London,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Konstantinos Aslanidis,M,Greece,GRE,1948,London,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Axel Slund,M,Sweden,SWE,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Axel Slund,M,Sweden,SWE,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Abdul Assar,M,Afghanistan,AFG,1948,London,Football,Football Men's Football,No medal
Abdul Assar,M,Afghanistan,AFG,1948,London,Football,Football Men's Football,No medal
Andr Auffray,M,France,FRA,1908,London,Cycling,Cycling Men's Sprint,No medal
Andr Auffray,M,France,FRA,1908,London,Cycling,Cycling Men's Sprint,No medal
Winifred (-frick),F,Great Britain,GBR,1948,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Winifred (-frick),F,Great Britain,GBR,1948,London,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Albert Austin,M,Canada,CAN,1904,St. Louis,Golf,Golf Men's Individual,No medal
Albert Austin,M,Canada,CAN,1904,St. Louis,Golf,Golf Men's Individual,No medal
August Babberger,M,Germany,GER,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
August Babberger,M,Germany,GER,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
William Bailey,M,Great Britain,GBR,1908,London,Cycling,Cycling Men's Sprint,No medal
William Bailey,M,Great Britain,GBR,1908,London,Cycling,Cycling Men's Sprint,No medal
Flix Bailly,M,France,FRA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Flix Bailly,M,France,FRA,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Wolter Bakker,M,Netherlands,NED,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Wolter Bakker,M,Netherlands,NED,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Wolter Bakker,M,Netherlands,NED,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Wolter Bakker,M,Netherlands,NED,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Wolter Bakker,M,Netherlands,NED,1936,Berlin,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Ferdinand Balcrek,M,Czechoslovakia,TCH,1948,London,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Ferdinand Balcrek,M,Czechoslovakia,TCH,1948,London,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Ernst Balser,M,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Ernst Balser,M,Germany,GER,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",No medal
Jean-Ado Baltus,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Jean-Ado Baltus,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Jean-Ado Baltus,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
Jean-Ado Baltus,M,Belgium,BEL,1932,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",No medal
George Bamber,M,Great Britain,GBR,1924,Paris,Art Competitions,Art Competitions Mixed Painting,No medal
George Bamber,M,Great Britain,GBR,1924,Paris,Art Competitions,Art Competitions Mixed Painting,No medal
George Bamber,M,Great Britain,GBR,1924,Paris,Art Competitions,Art Competitions Mixed Painting,No medal
R. Baron,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Painting,No medal
R. Baron,M,France,FRA,1924,Paris,Art Competitions,Art Competitions Mixed Painting,No medal
Jean Barrez,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Jean Barrez,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Jean Barrez,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Jean Barrez,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Jean Barrez,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Jean Barrez,M,France,FRA,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Luigi Bartolini,M,Italy,ITA,1948,London,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",No medal
Luigi Bartolini,M,Italy,ITA,1948,London,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",No medal
Franz Barwig,M,Austria,AUT,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",No medal
Franz Barwig,M,Austria,AUT,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",No medal
Franz Barwig,M,Austria,AUT,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",No medal
Henry Bateman,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Henry Bateman,M,Great Britain,GBR,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",No medal
Friedrich Baumeister,M,Germany,GER,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Friedrich Baumeister,M,Germany,GER,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
